timestep,mean_ep_reward,mean_ep_len,mean_omega_norm_final,success_rate,mean_fuel
32768,-1317.52342925,4000.0,0.5304486585120085,0.0,7.105377733707428
65536,-1145.9308742500002,4000.0,0.504799227406151,0.0,5.911995857954025
98304,-1165.5920068750002,4000.0,0.4985282624827623,0.0,6.052478671073914
131072,-1407.32084475,4000.0,0.5458034725139039,0.0,5.981745570898056
163840,-974.426619625,4000.0,0.42315354950454004,0.0,6.342540502548218
196608,-1035.018501875,4000.0,0.434575836670336,0.0,6.131509006023407
229376,-862.873642125,4000.0,0.40555060851183994,0.0,5.928919851779938
262144,-1091.44719825,4000.0,0.4565093031970539,0.0,6.464659810066223
294912,-710.08716425,4000.0,0.3537749604925724,0.0,6.270470559597015
327680,-1015.52318275,4000.0,0.4534121230106071,0.0,7.521519362926483
360448,-1180.585246,4000.0,0.4888778963412342,0.0,5.799056768417358
393216,-830.56479025,4000.0,0.39510526316527206,0.0,6.82578507065773
425984,-1059.90233125,4000.0,0.4470013211599201,0.0,6.842594623565674
458752,-879.999908,4000.0,0.3943210223645964,0.0,6.704406261444092
491520,-942.3961869999999,4000.0,0.40444399695223443,0.0,6.247001230716705
524288,-1009.4213697499999,4000.0,0.44665826112681983,0.0,5.666791558265686
557056,-912.595999375,4000.0,0.41083687021763093,0.0,6.302997350692749
589824,-928.9019596249999,4000.0,0.4000507417714488,0.0,5.299338221549988
622592,-814.0934986249999,4000.0,0.3616206243739608,0.0,6.910089552402496
655360,-743.4826929999999,4000.0,0.33883569275323444,0.0,5.629990637302399
688128,-824.4777746249999,4000.0,0.36098007503518215,0.0,5.364662289619446
720896,-1073.996236375,4000.0,0.35854759463230457,0.0,6.262549132108688
753664,-942.0347822499999,4000.0,0.4114422967198521,0.0,7.914642751216888
786432,-1061.153775,4000.0,0.4226930370037738,0.0,6.323586195707321
819200,-1198.50860025,4000.0,0.4474194654235255,0.0,7.220730364322662
851968,-920.92375025,4000.0,0.38257997832501955,0.0,6.9128528237342834
884736,-655.2244941250001,4000.0,0.3001264724887192,0.0,5.696250811219215
917504,-986.3032322500001,4000.0,0.40236889543833204,0.0,6.212345361709595
950272,-939.89293175,4000.0,0.3513860894199379,0.0,7.712824761867523
983040,-733.4697147500001,4000.0,0.3115485881704233,0.0,5.891292721033096
1015808,-1142.2939538750002,4000.0,0.4284127792977789,0.0,6.836459517478943
1048576,-665.033120875,4000.0,0.2893513570671029,0.0,6.903297662734985
1081344,-1013.22790125,4000.0,0.4010363246477897,0.0,6.599226891994476
1114112,-847.149818375,4000.0,0.3417039292116989,0.0,6.129876613616943
1146880,-868.760053375,4000.0,0.3821997415668507,0.0,6.21707147359848
1179648,-710.065695,4000.0,0.31776070309152676,0.0,6.025723457336426
1212416,-541.966693375,4000.0,0.28804324303114337,0.0,8.390667855739594
1245184,-917.56179875,4000.0,0.38234271887355253,0.0,7.026459157466888
1277952,-882.6466558750001,4000.0,0.32454732769691547,0.0,6.187807321548462
1310720,-1126.046889,4000.0,0.45337796088374904,0.0,7.030643939971924
1343488,-999.333198625,4000.0,0.39613776822386804,0.0,6.676228165626526
1376256,-821.5746818125,4000.0,0.3604495532531723,0.0,6.751871153712273
1409024,-701.0244753750001,4000.0,0.3005401761572811,0.0,7.2096946239471436
1441792,-824.3656095,4000.0,0.34737217872356396,0.0,6.539346158504486
1474560,-896.159250125,4000.0,0.37092961126043267,0.0,7.734172821044922
1507328,-855.3348535,4000.0,0.3235984422200052,0.0,6.260012269020081
1540096,-840.772660375,4000.0,0.3187370498269591,0.0,7.409815788269043
1572864,-875.9972493749999,4000.0,0.3605412732011659,0.0,6.332935631275177
1605632,-742.723185875,4000.0,0.3073488328333818,0.0,5.706643998622894
1638400,-899.0785663749999,4000.0,0.3522854070541109,0.0,5.968680799007416
1671168,-727.435412,4000.0,0.3160309610996671,0.0,6.536972463130951
1703936,-794.93814475,4000.0,0.3432315900848517,0.0,6.6152015924453735
1736704,-841.868100125,4000.0,0.3380683247290824,0.0,7.293895721435547
1769472,-596.275586625,4000.0,0.2585958782681542,0.0,7.235481679439545
1802240,-852.541003625,4000.0,0.34955357382118946,0.0,6.8914733827114105
1835008,-762.4490902499999,4000.0,0.31789670257316316,0.0,6.900658547878265
1867776,-989.212884,4000.0,0.38075439071233297,0.0,6.585174143314362
1900544,-831.5221623749999,4000.0,0.36250276417153104,0.0,5.395151436328888
1933312,-1023.15298375,4000.0,0.37190777482300935,0.0,6.459706097841263
1966080,-739.579761875,4000.0,0.3372237387811724,0.0,6.565894305706024
1998848,-698.370556,4000.0,0.28126801921146294,0.0,7.2107497453689575
2031616,-815.440934125,4000.0,0.32677597635505096,0.0,6.713714003562927
2064384,-635.5931965,4000.0,0.26740270485413375,0.0,6.17110002040863
2097152,-1097.3166775,4000.0,0.4284708925934996,0.0,6.362314432859421
2129920,-740.950815375,4000.0,0.2992703956703106,0.0,6.632393032312393
2162688,-636.692752875,4000.0,0.2721730081172909,0.0,6.406060755252838
2195456,-643.6439618750001,4000.0,0.27704769950497565,0.0,6.708378076553345
2228224,-643.7521445,4000.0,0.28174101832431026,0.0,5.8637630343437195
2260992,-777.567298,4000.0,0.3456564566494817,0.0,6.33399224281311
2293760,-662.915492875,4000.0,0.29581676782835764,0.0,5.460363149642944
2326528,-715.363105125,4000.0,0.2690991481828383,0.0,6.670554310083389
2359296,-872.5607265,4000.0,0.3172054156706683,0.0,7.817811846733093
2392064,-813.211073125,4000.0,0.33812085152646715,0.0,7.200496673583984
2424832,-642.974357625,4000.0,0.30728546374212345,0.0,6.080618917942047
2457600,-677.2799753749999,4000.0,0.3115122032000742,0.0,6.9591182470321655
2490368,-758.8854757500001,4000.0,0.2783327239857205,0.0,6.314439415931702
2523136,-638.987651625,4000.0,0.24671123270549614,0.0,6.802901089191437
2555904,-546.61333725,4000.0,0.24746444214092733,0.0,7.19708913564682
2588672,-674.3922546250001,4000.0,0.3111527247902932,0.0,6.449805974960327
2621440,-785.9762900000001,4000.0,0.2837332838422249,0.0,6.442673146724701
2654208,-679.0033087500001,4000.0,0.2879612067387596,0.0,7.293196856975555
2686976,-613.187808,4000.0,0.261864987280622,0.0,7.300325334072113
2719744,-579.207839375,4000.0,0.21655825698985634,0.0,6.355100333690643
2752512,-660.3206569375,4000.0,0.2594995895296875,0.0,7.142951875925064
2785280,-712.49423275,4000.0,0.3239702379698576,0.0,6.541018307209015
2818048,-769.8174725,4000.0,0.3241889090496867,0.0,6.843083620071411
2850816,-764.814229125,4000.0,0.28646012967722556,0.0,7.155445873737335
2883584,-572.5081567500001,4000.0,0.25514748062005016,0.0,5.742239236831665
2916352,-730.267216875,4000.0,0.28524308383385044,0.0,6.092432022094727
2949120,-573.203371625,4000.0,0.24763092975853815,0.0,7.45970094203949
2981888,-623.223216125,4000.0,0.24748784188839196,0.0,7.029895514249802
3014656,-535.86036375,4000.0,0.23679772588230177,0.0,6.808449774980545
3047424,-645.863054375,4000.0,0.2643291342710258,0.0,6.323403596878052
3080192,-731.027643625,4000.0,0.3093266346924178,0.0,7.1870476603508
3112960,-706.13736475,4000.0,0.26952111734624795,0.0,8.0795379281044
3145728,-543.3294579999999,4000.0,0.2537932499707593,0.0,7.175915837287903
3178496,-657.3157945,4000.0,0.2624533637362542,0.0,7.272715926170349
3211264,-803.43768475,4000.0,0.32411613538346906,0.0,6.546897292137146
3244032,-696.453558125,4000.0,0.29402695774205334,0.0,7.292376935482025
3276800,-775.0524495,4000.0,0.2634107241230262,0.0,6.658831536769867
3309568,-484.78187337500003,4000.0,0.20249379772273673,0.0,6.2798802852630615
3342336,-809.819493625,4000.0,0.3407793158224226,0.0,6.104534864425659
3375104,-684.0904365,4000.0,0.26458473154079454,0.0,6.593063771724701
3407872,-571.031396375,4000.0,0.22932311108300016,0.0,6.394174724817276
3440640,-761.3305983750001,4000.0,0.30203723027377194,0.0,7.626435101032257
3473408,-703.9184555,4000.0,0.26568893894402434,0.0,6.182312935590744
3506176,-573.120772125,4000.0,0.25667021367299014,0.0,5.467763364315033
3538944,-670.948463875,4000.0,0.2808696239968514,0.0,7.045497953891754
3571712,-541.812157875,4000.0,0.25968683040621937,0.0,7.346996903419495
3604480,-627.32795375,4000.0,0.25497117830391314,0.0,6.96709007024765
3637248,-520.7717278750001,4000.0,0.19700043549858995,0.0,6.942608535289764
3670016,-773.953531875,4000.0,0.33730102704577997,0.0,6.920093894004822
3702784,-575.66050525,4000.0,0.23596629013494683,0.0,7.388536721467972
3735552,-523.2115550000001,4000.0,0.2387106267702534,0.0,7.720857352018356
3768320,-624.080927,4000.0,0.2546808019129027,0.0,6.389335513114929
3801088,-596.758782375,4000.0,0.22472253156684818,0.0,6.468320280313492
3833856,-704.1885,4000.0,0.28606342513605015,0.0,7.2569268345832825
3866624,-460.376309625,4000.0,0.22203633423320884,0.0,6.170604914426804
3899392,-637.0207832499999,4000.0,0.26593246182944064,0.0,7.852826416492462
3932160,-593.140925375,4000.0,0.23881031357617555,0.0,7.094642519950867
3964928,-507.581242125,4000.0,0.23956808988339456,0.0,6.975179612636566
3997696,-555.96517525,4000.0,0.2434672477743331,0.0,7.268106818199158
4030464,-729.4191785,4000.0,0.28501462808628153,0.0,7.223497241735458
4063232,-511.13205750000003,4000.0,0.26761593512727705,0.0,7.252608001232147
4096000,-695.5373636874999,4000.0,0.3029792108444851,0.0,6.821691781282425
4128768,-476.039796625,4000.0,0.20556931313981913,0.0,7.680584907531738
4161536,-643.990253875,4000.0,0.28026601368657267,0.0,7.210972487926483
4194304,-663.6365988749999,4000.0,0.2554254135942985,0.0,7.01181423664093
4227072,-501.639621875,4000.0,0.21601256246088907,0.0,5.189585268497467
4259840,-434.08718362499997,4000.0,0.16058436803755569,0.0,7.080289125442505
4292608,-567.212109,4000.0,0.2576938737113042,0.0,6.369692116975784
4325376,-601.29193375,4000.0,0.2538559960353294,0.0,5.190885275602341
4358144,-878.5136751250001,4000.0,0.3378406845243249,0.0,5.836621642112732
4390912,-774.6885749999999,4000.0,0.3182160795118064,0.0,5.372259825468063
4423680,-657.653232,4000.0,0.2468744661667705,0.0,7.293822705745697
4456448,-438.96339125,4000.0,0.1982806487966741,0.0,6.935541152954102
4489216,-601.96569,4000.0,0.25390297160273245,0.0,9.169754445552826
4521984,-548.2255782499999,4000.0,0.22779703359242998,0.0,5.516505569219589
